Ajatempel (UTC);Kuupäev (Eesti aeg);NPS Eesti
1706241600;26.01.2024 06:00;115,94
1706245200;26.01.2024 07:00;134,66
1706248800;26.01.2024 08:00;145,88
1706252400;26.01.2024 09:00;141,51
1706256000;26.01.2024 10:00;135,84
1706259600;26.01.2024 11:00;129,87
1706263200;26.01.2024 12:00;123,6
1706266800;26.01.2024 13:00;120,93
1706270400;26.01.2024 14:00;127,08
1706274000;26.01.2024 15:00;128,11
1706277600;26.01.2024 16:00;134,63
1706281200;26.01.2024 17:00;132,29
1706284800;26.01.2024 18:00;126,88
1706288400;26.01.2024 19:00;114,65
1706292000;26.01.2024 20:00;98,61
1706295600;26.01.2024 21:00;40
1706299200;26.01.2024 22:00;81,79
1706302800;26.01.2024 23:00;60,87
1706306400;27.01.2024 00:00;52,04
1706310000;27.01.2024 01:00;56,58
1706313600;27.01.2024 02:00;55,53
1706317200;27.01.2024 03:00;56,44
1706320800;27.01.2024 04:00;55,15
1706324400;27.01.2024 05:00;55,76
1706328000;27.01.2024 06:00;111,74
1706331600;27.01.2024 07:00;61,37
1706335200;27.01.2024 08:00;132,84
1706338800;27.01.2024 09:00;87,49
1706342400;27.01.2024 10:00;71,05
1706346000;27.01.2024 11:00;115,99
1706349600;27.01.2024 12:00;115,97
1706353200;27.01.2024 13:00;149,52
1706356800;27.01.2024 14:00;100,2
1706360400;27.01.2024 15:00;118,31
1706364000;27.01.2024 16:00;139,08
1706367600;27.01.2024 17:00;299,03
1706371200;27.01.2024 18:00;299,01
1706374800;27.01.2024 19:00;97,44
1706378400;27.01.2024 20:00;98,53
1706382000;27.01.2024 21:00;85,72
1706385600;27.01.2024 22:00;133,03
1706389200;27.01.2024 23:00;75,97
1706392800;28.01.2024 00:00;72,7
1706396400;28.01.2024 01:00;80,4
1706400000;28.01.2024 02:00;60,82
1706403600;28.01.2024 03:00;59,4
1706407200;28.01.2024 04:00;59,46
1706410800;28.01.2024 05:00;60,76
1706414400;28.01.2024 06:00;63,34
1706418000;28.01.2024 07:00;59,93
1706421600;28.01.2024 08:00;79,53
1706425200;28.01.2024 09:00;80,71
1706428800;28.01.2024 10:00;141,33
1706432400;28.01.2024 11:00;99,57
1706436000;28.01.2024 12:00;81,88
1706439600;28.01.2024 13:00;79,97
1706443200;28.01.2024 14:00;79,96
1706446800;28.01.2024 15:00;88,68
1706450400;28.01.2024 16:00;106,23
1706454000;28.01.2024 17:00;116,73
1706457600;28.01.2024 18:00;117,17
1706461200;28.01.2024 19:00;117,22
1706464800;28.01.2024 20:00;113,89
1706468400;28.01.2024 21:00;109,66
1706472000;28.01.2024 22:00;100,52
1706475600;28.01.2024 23:00;82,4
1706479200;29.01.2024 00:00;49,3
1706482800;29.01.2024 01:00;49,97
1706486400;29.01.2024 02:00;47,26
1706490000;29.01.2024 03:00;48,12
1706493600;29.01.2024 04:00;47,97
1706497200;29.01.2024 05:00;51,58
1706500800;29.01.2024 06:00;60,06
1706504400;29.01.2024 07:00;84
1706508000;29.01.2024 08:00;101,66
